strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DJ016229	west nile	DJ016229	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DJ016229	?	?	?
DJ331414	west nile	DJ331414	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DJ331414	?	?	?
DJ331434	west nile	DJ331434	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DJ331434	?	?	?
DQ010355	west nile	DQ010355	XXXX-XX-XX	North America	United States (USA)	 NY	 NY	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ010355	?	?	?
DQ411029	west nile	DQ411029	XXXX-XX-XX	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ411029	?	?	?
DQ411032	west nile	DQ411032	XXXX-XX-XX	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ411032	?	?	?
DQ823114	west nile	DQ823114	2004-07-14	North America	United States (USA)	 NY	 NY	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ823114	?	?	?
DQ874417	west nile	DQ874417	2005-08-09	North America	United States (USA)	 Mchenry	 Mchenry	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ874417	?	?	?
DQ874429	west nile	DQ874429	2002-08-05	North America	United States (USA)	 Iroquois	 Iroquois	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ874429	?	?	?
DQ874460	west nile	DQ874460	2004-06-09	North America	United States (USA)	 Vermilion	 Vermilion	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ874460	?	?	?
DQ911844	west nile	DQ911844	2003-XX-XX	North America	United States (USA)	Dallas TX	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ911844	?	?	?
DQ911881	west nile	DQ911881	2003-XX-XX	North America	United States (USA)	Dallas TX	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ911881	?	?	?
DQ911934	west nile	DQ911934	2003-XX-XX	North America	United States (USA)	Gainsville FL	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ911934	?	?	?
DQ911947	west nile	DQ911947	2003-XX-XX	North America	United States (USA)	New Orleans LA	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ911947	?	?	?
DQ911975	west nile	DQ911975	2004-XX-XX	North America	United States (USA)	Tempe AZ	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DQ911975	?	?	?
EF631026	west nile	EF631026	2005-08-23	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EF631026	?	?	?
EF631071	west nile	EF631071	2005-07-28	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EF631071	?	?	?
EF631081	west nile	EF631081	2005-08-09	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EF631081	?	?	?
EF631118	west nile	EF631118	2005-08-18	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EF631118	?	?	?
EF631161	west nile	EF631161	2005-08-28	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EF631161	?	?	?
FJ013251	west nile	FJ013251	2005-XX-XX	Asia	Russian Federation	Volgograd	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FJ013251	?	?	?
FJ154935	west nile	FJ154935	2005-XX-XX	Asia	Russian Federation	Volgograd	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FJ154935	?	?	?
FJ425724	west nile	FJ425724	2005-XX-XX	Asia	Russian Federation	Astrakhan	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FJ425724	?	?	?
FJ425728	west nile	FJ425728	2007-XX-XX	Asia	Russian Federation	Volgograd	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FJ425728	?	?	?
FJ472947	west nile	FJ472947	2008-08-XX	Europe	Italy	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FJ472947	?	?	?
FJ775695	west nile	FJ775695	2006-08-23	North America	United States (USA)	 IN	 IN	ENA	genome	Catherine L.E. Young	https://www.ebi.ac.uk/ena/browser/view/FJ775695	?	?	?
FZ413203	west nile	FZ413203	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FZ413203	?	?	?
FZ413226	west nile	FZ413226	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FZ413226	?	?	?
FZ413235	west nile	FZ413235	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FZ413235	?	?	?
FZ413261	west nile	FZ413261	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FZ413261	?	?	?
FZ413266	west nile	FZ413266	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/FZ413266	?	?	?
GQ502368	west nile	GQ502368	2005-09-10	North America	United States (USA)	zip code 90814	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/GQ502368	?	?	?
GQ502372	west nile	GQ502372	2004-09-02	North America	United States (USA)	zip code 92832	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/GQ502372	?	?	?
GU246711	west nile	GU246711	2008-XX-XX	Asia	Israel	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/GU246711	?	?	?
GU386762	west nile	GU386762	2006-07-04	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/GU386762	?	?	?
GU386877	west nile	GU386877	2007-08-29	North America	United States (USA)	 Cook County	 Cook County	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/GU386877	?	?	?
HA061323	west nile	HA061323	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061323	?	?	?
HA061349	west nile	HA061349	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061349	?	?	?
HA061358	west nile	HA061358	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061358	?	?	?
HA061411	west nile	HA061411	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061411	?	?	?
HA061558	west nile	HA061558	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061558	?	?	?
HA061570	west nile	HA061570	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061570	?	?	?
HA061734	west nile	HA061734	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061734	?	?	?
HA061756	west nile	HA061756	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061756	?	?	?
HA061773	west nile	HA061773	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061773	?	?	?
HA061811	west nile	HA061811	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061811	?	?	?
HA061843	west nile	HA061843	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061843	?	?	?
HA061888	west nile	HA061888	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061888	?	?	?
HA061990	west nile	HA061990	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA061990	?	?	?
HA062099	west nile	HA062099	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062099	?	?	?
HA062140	west nile	HA062140	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062140	?	?	?
HA062144	west nile	HA062144	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062144	?	?	?
HA062156	west nile	HA062156	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062156	?	?	?
HA062201	west nile	HA062201	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062201	?	?	?
HA062271	west nile	HA062271	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062271	?	?	?
HA062284	west nile	HA062284	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062284	?	?	?
HA062297	west nile	HA062297	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062297	?	?	?
HA062300	west nile	HA062300	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062300	?	?	?
HA062326	west nile	HA062326	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062326	?	?	?
HA062327	west nile	HA062327	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062327	?	?	?
HA062347	west nile	HA062347	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062347	?	?	?
HA062447	west nile	HA062447	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062447	?	?	?
HA062448	west nile	HA062448	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062448	?	?	?
HA062454	west nile	HA062454	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062454	?	?	?
HA062475	west nile	HA062475	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062475	?	?	?
HA062495	west nile	HA062495	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062495	?	?	?
HA062519	west nile	HA062519	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062519	?	?	?
HA062525	west nile	HA062525	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062525	?	?	?
HA062536	west nile	HA062536	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062536	?	?	?
HA062630	west nile	HA062630	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062630	?	?	?
HA062636	west nile	HA062636	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062636	?	?	?
HA062685	west nile	HA062685	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062685	?	?	?
HA062698	west nile	HA062698	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062698	?	?	?
HA062734	west nile	HA062734	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062734	?	?	?
HA062746	west nile	HA062746	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062746	?	?	?
HA062795	west nile	HA062795	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062795	?	?	?
HA062867	west nile	HA062867	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062867	?	?	?
HA062872	west nile	HA062872	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062872	?	?	?
HA062903	west nile	HA062903	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062903	?	?	?
HA062913	west nile	HA062913	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062913	?	?	?
HA062928	west nile	HA062928	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062928	?	?	?
HA062941	west nile	HA062941	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062941	?	?	?
HA062958	west nile	HA062958	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062958	?	?	?
HA062983	west nile	HA062983	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062983	?	?	?
HA062997	west nile	HA062997	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA062997	?	?	?
HA063007	west nile	HA063007	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063007	?	?	?
HA063022	west nile	HA063022	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063022	?	?	?
HA063113	west nile	HA063113	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063113	?	?	?
HA063116	west nile	HA063116	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063116	?	?	?
HA063167	west nile	HA063167	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063167	?	?	?
HA063195	west nile	HA063195	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063195	?	?	?
HA063224	west nile	HA063224	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063224	?	?	?
HA063250	west nile	HA063250	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063250	?	?	?
HA063255	west nile	HA063255	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063255	?	?	?
HA063281	west nile	HA063281	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063281	?	?	?
HA063288	west nile	HA063288	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063288	?	?	?
HA063307	west nile	HA063307	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063307	?	?	?
HA063351	west nile	HA063351	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063351	?	?	?
HA063379	west nile	HA063379	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063379	?	?	?
HA063400	west nile	HA063400	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063400	?	?	?
HA063433	west nile	HA063433	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063433	?	?	?
HA063434	west nile	HA063434	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063434	?	?	?
HA063449	west nile	HA063449	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063449	?	?	?
HA063480	west nile	HA063480	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063480	?	?	?
HA063497	west nile	HA063497	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063497	?	?	?
HA063555	west nile	HA063555	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063555	?	?	?
HA063577	west nile	HA063577	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063577	?	?	?
HA063616	west nile	HA063616	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063616	?	?	?
HA063622	west nile	HA063622	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063622	?	?	?
HA063631	west nile	HA063631	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063631	?	?	?
HA063633	west nile	HA063633	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063633	?	?	?
HA063637	west nile	HA063637	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063637	?	?	?
HA063644	west nile	HA063644	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063644	?	?	?
HA063656	west nile	HA063656	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063656	?	?	?
HA063759	west nile	HA063759	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063759	?	?	?
HA063836	west nile	HA063836	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063836	?	?	?
HA063847	west nile	HA063847	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063847	?	?	?
HA063891	west nile	HA063891	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063891	?	?	?
HA063899	west nile	HA063899	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063899	?	?	?
HA063927	west nile	HA063927	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063927	?	?	?
HA063986	west nile	HA063986	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA063986	?	?	?
HA064001	west nile	HA064001	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064001	?	?	?
HA064007	west nile	HA064007	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064007	?	?	?
HA064075	west nile	HA064075	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064075	?	?	?
HA064089	west nile	HA064089	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064089	?	?	?
HA064106	west nile	HA064106	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064106	?	?	?
HA064120	west nile	HA064120	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064120	?	?	?
HA064122	west nile	HA064122	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064122	?	?	?
HA064150	west nile	HA064150	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064150	?	?	?
HA064223	west nile	HA064223	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064223	?	?	?
HA064233	west nile	HA064233	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064233	?	?	?
HA064244	west nile	HA064244	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064244	?	?	?
HA064337	west nile	HA064337	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064337	?	?	?
HA064503	west nile	HA064503	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064503	?	?	?
HA064518	west nile	HA064518	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064518	?	?	?
HA064586	west nile	HA064586	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064586	?	?	?
HA064634	west nile	HA064634	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064634	?	?	?
HA064636	west nile	HA064636	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064636	?	?	?
HA064653	west nile	HA064653	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064653	?	?	?
HA064659	west nile	HA064659	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064659	?	?	?
HA064683	west nile	HA064683	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064683	?	?	?
HA064689	west nile	HA064689	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064689	?	?	?
HA064715	west nile	HA064715	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064715	?	?	?
HA064772	west nile	HA064772	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064772	?	?	?
HA064850	west nile	HA064850	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064850	?	?	?
HA064852	west nile	HA064852	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064852	?	?	?
HA064856	west nile	HA064856	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064856	?	?	?
HA064860	west nile	HA064860	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064860	?	?	?
HA064928	west nile	HA064928	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064928	?	?	?
HA064984	west nile	HA064984	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA064984	?	?	?
HA065023	west nile	HA065023	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065023	?	?	?
HA065024	west nile	HA065024	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065024	?	?	?
HA065026	west nile	HA065026	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065026	?	?	?
HA065058	west nile	HA065058	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065058	?	?	?
HA065130	west nile	HA065130	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065130	?	?	?
HA065183	west nile	HA065183	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065183	?	?	?
HA065245	west nile	HA065245	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065245	?	?	?
HA065315	west nile	HA065315	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065315	?	?	?
HA065316	west nile	HA065316	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065316	?	?	?
HA065398	west nile	HA065398	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065398	?	?	?
HA065420	west nile	HA065420	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065420	?	?	?
HA065424	west nile	HA065424	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065424	?	?	?
HA065479	west nile	HA065479	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HA065479	?	?	?
